标题,发布时间,链接,平台,作者,种类(图文/视频),用图,简介
云南大学易班发展中心“‘易’心共庆，剪绎同心”国庆剪纸活动圆满落幕！,2025/10/13 12:41,https://www.douyin.com/video/7560561971999264058,抖音,云大易班,视频,,活动落幕，圆满完成推文
“‘易’心共庆，剪绎同心”｜云南大学易班发展中心国庆剪纸活动圆满落幕,2025/10/13 13:12,https://mp.weixin.qq.com/s/LEveosIGiptlHz86hwa48Q,公众号,云大易班,图文,,活动落幕，圆满完成推文
“易”心共庆，剪绎同心,2025/9/30 23:31,https://mp.weixin.qq.com/s/0KmhpGIosgbb2kBwYmlQLA,公众号,云大易班,图文,,报名推文
思政之光·闪耀校园｜云南大学易班发展中心国庆剪纸活动圆满落幕,2025/10/14 09:08,https://mp.weixin.qq.com/s/9r-fak_j5oDsOrRPXtdDMw,公众号,云大学工,图文,,转载
“云上”青春“学艺人”第三集——非遗剪纸（上）,2024/11/25 19:01,https://mp.weixin.qq.com/s/8KLDze8ys7q9PJ8PdYiAYQ,公众号,YUN辅导员,视频,,
“云上”青春“学艺人”第三集——非遗剪纸（下）,2024/12/18 10:02,https://mp.weixin.qq.com/s/LuV-J5HL2VaHaVUEI257tQ,公众号,YUN辅导员,视频,,
“云上”青春“学艺人”第三集——非遗剪纸（中）,2024/12/15 10:00,https://mp.weixin.qq.com/s/yVNnOx7CpBbuDMw5Qk6mRQ,公众号,YUN辅导员,视频,,
云大校史馆开展“2025年云南省社会科学普及宣传周”系列活动,2025/5/27 09:21,https://mp.weixin.qq.com/s/yVNnOx7CpBbuDMw5Qk6mRQ,公众号,云南大学校史馆,图文,,
云南大学辅导员工作室·在社区之“云上”青春“学艺人” 第三集——非遗剪纸（上）,2025/03/10 10:49:31 ,https://yurenhao1.sizhengwang.cn/a/yndx/250310/2023698.shtml,全国高校思想政治教育网,全国高校思想政治教育网,视频,,转载
云南大学辅导员工作室·在社区之“云上”青春“学艺人” 第三集——非遗剪纸（中）,2025/03/10 15:55:16 ,https://yurenhao1.sizhengwang.cn/a/yndx/250310/2024320.shtml,全国高校思想政治教育网,全国高校思想政治教育网,视频,,转载
云南大学辅导员工作室·在社区之“云上”青春“学艺人” 第三集——非遗剪纸（下）,2025/03/11 09:06:40 ,https://yurenhao1.sizhengwang.cn/a/yndx/250311/2024929.shtml,全国高校思想政治教育网,全国高校思想政治教育网,视频,,转载
云南大学-非遗微课“云上”青春学艺人,2025/3/21 16:34,https://edu.cctv.com/2025/03/21/VIDEB8IGCqoWXpv9GgZJHIG9250321.shtml,央视网,央视网,视频,,转载
